method	actual_sparsity	p	q	metric	score
wandg_set_difference	0.000000	0.0	0.0	PPL	6.4934
wandg_set_difference	0.000000	0.0	0.0	inst_ASR_basic	0.0000
wandg_set_difference	0.000000	0.0	0.0	inst_ASR_basic_nosys	0.0000
wandg_set_difference	0.000000	0.0	0.0	inst_ASR_multiple_nosys	0.0000
wandg_set_difference	0.000000	0.0	0.0	no_inst_ASR_basic	0.0400
wandg_set_difference	0.000000	0.0	0.0	no_inst_ASR_basic_nosys	0.1600
wandg_set_difference	0.000000	0.0	0.0	no_inst_ASR_multiple_nosys	0.2740
wandg_set_difference	0.000000	0.0	0.0	ASR_gcg	0.0900
wandg_set_difference	0.000000	0.0	0.0	hellaswag	0.5650
wandg_set_difference	0.000000	0.0	0.0	openbookqa	0.3250
wandg_set_difference	0.000000	0.0	0.0	boolq	0.8000
wandg_set_difference	0.000000	0.0	0.0	winogrande	0.6600
wandg_set_difference	0.000000	0.0	0.0	rte	0.7100
wandg_set_difference	0.000000	0.0	0.0	arc_challenge	0.4350
wandg_set_difference	0.000000	0.0	0.0	averaged	0.5825
