method	rank_removed	metric	score
low_rank	1	PPL	53786.4844
low_rank	1	inst_ASR_basic	0.0000
low_rank	1	inst_ASR_basic_nosys	0.8400
low_rank	1	inst_ASR_multiple_nosys	0.9320
low_rank	1	no_inst_ASR_basic	1.0000
low_rank	1	no_inst_ASR_basic_nosys	0.9200
low_rank	1	no_inst_ASR_multiple_nosys	0.9340
low_rank	1	ASR_gcg	0.8400
low_rank	1	openbookqa	0.1800
low_rank	1	winogrande	0.5200
low_rank	1	rte	0.5850
low_rank	1	arc_challenge	0.2250
low_rank	1	boolq	0.6100
low_rank	1	hellaswag	0.2450
low_rank	1	averaged	0.3942
