rank	INST	metric	score
3200_4040	1	PPL	7.0938
3200_4040	inst_	ASR_basic	0.3600
3200_4040	inst_	ASR_basic_nosys	0.6700
3200_4040	inst_	ASR_multiple_nosys	0.6660
3200_4040	no_inst_	ASR_basic	0.4300
3200_4040	no_inst_	ASR_basic_nosys	0.8300
3200_4040	no_inst_	ASR_multiple_nosys	0.9180
3200_4040	no_inst_	ASR_gcg	0.9800
3200_4040	1	boolq	0.8020
3200_4040	1	rte	0.6931
3200_4040	1	winogrande	0.6620
3200_4040	1	arc_challenge	0.4230
3200_4040	1	arc_easy	0.7400
3200_4040	1	openbookqa	0.3420
3200_4040	1	hellaswag	0.5800
3200_4040	1	averaged	0.6060
